Date,Close,Open,High,Low
30-09-2020,19951.35,19880.6,20048.55,19741.65
01-10-2020,20110.4,20129.8,20196.05,20009.3
05-10-2020,20809,20375.9,20940.9,20341.45
06-10-2020,20896.75,20995.3,20995.3,20573.9
07-10-2020,21017.4,20897.55,21121.6,20771.65
08-10-2020,21697.25,21531.85,22169.3,21501.95
09-10-2020,21837.65,21703.45,21922.75,21540.65
12-10-2020,22202.1,21990.85,22320,21845.05
13-10-2020,22492.6,22230.2,22619,22186.05
14-10-2020,22204.05,22475.85,22490.3,22129.95
15-10-2020,21567.3,22473.65,22570.5,21364.15
16-10-2020,21538.15,21638.25,21908.8,21247.55
19-10-2020,21391.9,21683.8,21683.8,21354.9
20-10-2020,21694.35,21397.5,21779.8,21346.05
21-10-2020,21577.65,21757.05,21892.3,21406.1
22-10-2020,21413.5,21480.7,21767.05,21290.45
23-10-2020,21523.6,21546.65,21621.6,21385.15
26-10-2020,21265.7,21493.3,21595.8,21148.65
27-10-2020,21023.4,21287.1,21371.6,20932.7
28-10-2020,20810.3,21121.9,21194.75,20701
29-10-2020,20876.95,20667.7,20961.05,20548.3
30-10-2020,20916.85,20912.95,21197.3,20797.5
02-11-2020,20732.3,20964.15,21012.45,20669.35
03-11-2020,20736,20792.25,21017.95,20679.65
04-11-2020,21104.55,20769.9,21468.45,20765.8
05-11-2020,21385.65,21383.7,21596,21284.6
06-11-2020,21492.3,21435.15,21582.2,21251.55
09-11-2020,21820.15,21751.65,21926.9,21620.55
10-11-2020,20978.5,21633.1,21633.1,20862.7
11-11-2020,21330.5,21029.25,21365.65,20967.8
12-11-2020,21363.35,21380.2,21610.05,21291.7
13-11-2020,21436.85,21305.35,21462,21219.8
17-11-2020,21488.55,21704.05,21706.2,21361.45
18-11-2020,21314.85,21519.15,21557.1,21153.85
19-11-2020,21114.45,21285.75,21451.8,21070.25
20-11-2020,21409.25,21275.35,21500.65,21121.75
23-11-2020,22007.05,21551.85,22047.05,21432.65
24-11-2020,22064.3,22099.6,22281.85,22016.95
25-11-2020,21705.9,22087.9,22132.9,21675.9
26-11-2020,21859.9,21717.4,21919.15,21544.05
27-11-2020,21764.9,21879.15,21972.95,21701.3
01-12-2020,22170.9,21921.1,22216.45,21814.4
02-12-2020,22319,22149.35,22371.55,21961.45
03-12-2020,22202.2,22458.75,22458.8,22147.3
04-12-2020,22309.8,22222.25,22347.85,22130.3
07-12-2020,22440.9,22333.3,22482.9,22271
08-12-2020,22617.4,22484.35,22737.95,22387.35
09-12-2020,22803.45,22799.95,22895.5,22720.5
10-12-2020,22755.75,22693.95,22809.55,22606.6
11-12-2020,22664,22754.5,22901.75,22541.1
14-12-2020,22746.7,22786,22792.45,22487.3
15-12-2020,22715.1,22656.35,22779.7,22608.35
16-12-2020,22906.25,22830.4,22933.8,22701.55
17-12-2020,22892.25,22913.15,22960.5,22835.4
18-12-2020,23256.6,23173.15,23416.5,23148.5
21-12-2020,22844.6,23233.5,23506.7,22458.15
22-12-2020,23611.6,22921.85,23680.9,22745.25
23-12-2020,24167.75,23787.8,24228.8,23758.4
24-12-2020,24009.25,24163.2,24163.2,23828.05
28-12-2020,24100.3,24065.4,24192.05,24037.8
29-12-2020,24274.05,24093.05,24424.2,24090.3
30-12-2020,24330.05,24312.5,24394.75,24176.25
31-12-2020,24251.35,24255.95,24295.2,24137.8
01-01-2021,24456.1,24300.2,24500.7,24288.95
04-01-2021,25110.05,24612.05,25158.85,24508.95
05-01-2021,25769.15,25057.65,25824.15,25029.85
06-01-2021,25419.15,25841.3,26036.7,25240.5
07-01-2021,25251.2,25692.05,25702.3,25131.9
08-01-2021,26162.4,25558.3,26227.5,25523.75
11-01-2021,27027.75,26703.2,27095.75,26528
12-01-2021,26982.1,27008,27127.25,26805
13-01-2021,27004.3,27077.7,27103.9,26737.4
14-01-2021,26965.55,26804.65,27176.5,26245.1
15-01-2021,26362.8,26939.7,27037.65,26301.4
18-01-2021,25916.25,26395.6,26423.6,25830.4
19-01-2021,26043.5,26080.1,26254.05,25987.3
20-01-2021,26619.7,26147.2,26758.1,26142.95
21-01-2021,26450.15,26808.5,26872.95,26321.8
22-01-2021,26489.75,26316.55,26667.55,26292.8
25-01-2021,26023.3,26607.65,26685.8,25911.8
27-01-2021,25865.3,26073.1,26236.55,25628.7
28-01-2021,25301.25,25639.9,25807.65,25239.7
29-01-2021,24645.75,25516.8,25539.85,24559.65
01-02-2021,24922.7,24709.25,25139.15,24308.9
02-02-2021,25447.8,25277.45,25574.75,25107.2
03-02-2021,25680.9,25590.05,25949.7,25341.4
04-02-2021,25570.05,25749.7,25862.5,25505.25
05-02-2021,25331.6,25689.7,25733.5,25188.4
08-02-2021,25915.6,25588.5,26028,25415.95
09-02-2021,25779.15,25933.8,26301.2,25659.9
10-02-2021,25885.3,25779.9,25941.05,25570.2
11-02-2021,26043.45,25860.85,26080.15,25795.85
12-02-2021,26093.8,26111.8,26455.05,26012.25
15-02-2021,26001.1,26243.1,26279.3,25959.1
16-02-2021,25613.95,26130.4,26167.85,25519.95
17-02-2021,25282.95,25610.4,25672.25,25234.7
18-02-2021,25618.55,25270.95,25686.85,25262.65
19-02-2021,25503.2,25634.95,25676,25292.65
22-02-2021,24766.45,25579.75,25617.35,24646.45
23-02-2021,24807.8,24933.7,25199.6,24709.15
24-02-2021,24779.4,24814.55,24872.35,24518.7
25-02-2021,24872.45,24979,25199.8,24830.7
26-02-2021,24301.45,24611.2,24689,24212.8
01-03-2021,24556.3,24494.65,24846.1,24451.45
02-03-2021,25301.85,24809.7,25435.4,24770.35
03-03-2021,25772.65,25582.6,25814.9,25331.4
04-03-2021,25631.85,25471.7,25981.35,25450.45
05-03-2021,25229.6,25504.7,25697.75,25113.45
08-03-2021,25347.95,25368.2,25549.3,25259.6
09-03-2021,25582.35,25388.8,25685.8,25095.35
