Window,Timesteps,Model,MSE,RMSE,R-Squared,Aggregate Metrics,Data_Type
8,55,GRU,0.0038114083163697174,0.06173660434758068,0.8945621912028195,39.03080267756874,Continuous
8,55,LSTM,0.008535062235322539,0.09238540055291496,0.7638882572158718,37.19603644520064,Discrete
8,55,SimpleRNN,0.009422951892922544,0.097071890333518,0.739325908556206,37.013656441748935,Discrete
8,55,GRU,0.0011708379567919563,0.03421750950598182,0.9676102431506747,43.39747132982202,Discrete
14,3,LSTM,0.0017900190942632386,0.04230861725775541,0.9549478942144016,41.530264930971434,Continuous
14,3,SimpleRNN,0.0009600334998840069,0.03098440736699682,0.9758373913814061,44.41671183245833,Continuous
14,3,GRU,0.002729623876184801,0.052245802474311764,0.9312994459003866,40.023864356762125,Continuous
14,3,LSTM,0.05877555270067262,0.24243669833726209,-0.479292833447454,6.886457273201281,Discrete
14,3,SimpleRNN,0.0023691546188798563,0.048673962432494194,0.9403719184592576,40.49507906054177,Discrete
14,3,GRU,0.01124942372133776,0.10606330053952573,0.7168688148942188,33.01288105030131,Discrete
14,5,LSTM,0.01042011064174746,0.10207894318490694,0.7376730774645346,35.500761185884976,Continuous
14,5,SimpleRNN,0.0018329078031661633,0.04281247251872009,0.9538564339835852,41.43717855360656,Continuous
14,5,GRU,0.0014092389819675539,0.03753983193845643,0.9645223224621572,42.534298036504254,Continuous
14,5,LSTM,0.017448584958432118,0.13209309201632052,0.560730806791462,21.814129032196263,Discrete
14,5,SimpleRNN,0.008587101790940042,0.0926666163779602,0.7838191873614966,37.19173065004679,Discrete
14,5,GRU,0.0026969303483354826,0.051931978089954194,0.9321046135789683,40.06268760874033,Discrete
14,8,LSTM,0.007270681392041374,0.08526829065978381,0.8165791851720418,37.51475608353927,Continuous
14,8,SimpleRNN,0.0008014632145916845,0.02831012565481977,0.9797811198224204,45.43427722819523,Continuous
14,8,GRU,0.009729052583587782,0.09863595989084195,0.7545607273701909,36.96428369136074,Continuous
14,8,LSTM,0.009561538414822202,0.0977831192733296,0.7587866841510564,36.99516691231981,Discrete
14,8,SimpleRNN,0.006418924309423124,0.08011818962896705,0.8380668518301264,37.77320898828217,Discrete
14,8,GRU,0.006127397017255447,0.07827769169600907,0.8454213445648122,37.87348437876597,Discrete
14,14,LSTM,0.008277523379707294,0.09098089568534316,0.7900639330524512,37.26046080408239,Continuous
14,14,SimpleRNN,0.0008796618229731397,0.02965909342803889,0.9776898554208104,44.898054029221555,Continuous
14,14,GRU,0.0010078457109594261,0.03174658581579169,0.9744388321309386,44.157963022002264,Continuous
14,14,LSTM,0.015089405250460194,0.12283894028548192,0.6172997350118841,25.00990170158296,Discrete
14,14,SimpleRNN,0.026931189344710376,0.16410724951905803,0.31696623375189303,14.514070311645703,Discrete
14,14,GRU,0.0017713715337176349,0.042087664864157465,0.9550741501010804,41.57166827942916,Discrete
14,21,LSTM,0.00791576783281825,0.08897060094670739,0.7962256445994624,37.3452978200841,Continuous
14,21,SimpleRNN,0.0009078036497559813,0.030129780114630463,0.9766305546769151,44.72212829465439,Continuous
14,21,GRU,0.016845080108203566,0.12978859775883075,0.5663597754233918,22.545237070754524,Continuous
14,21,LSTM,0.00878442352841181,0.09372525555266206,0.7738639788491467,37.1477822523443,Discrete
14,21,SimpleRNN,0.003227757839955132,0.05681335969607089,0.9169083420437162,39.50613405645632,Discrete
14,21,GRU,0.01538571133881888,0.12403915244316563,0.6039280741094792,24.553756198483867,Discrete
14,55,LSTM,0.008090932634872627,0.08994961164381216,0.7755499718829652,37.29762845083142,Continuous
14,55,SimpleRNN,0.0011174724176315498,0.03342861674720553,0.9690002714302217,43.62782987710553,Continuous
14,55,GRU,0.013138647540985704,0.11462393965043124,0.6355216458874304,28.490345779688578,Continuous
14,55,LSTM,0.008983553549622117,0.09478160976488063,0.7507878340115095,37.10045258131356,Discrete
14,55,SimpleRNN,0.008020377634337295,0.089556561090393,0.7775072334952665,37.314544987106416,Discrete
14,55,GRU,0.003319581586505618,0.05761581021304498,0.9079117063443816,39.42141959919121,Discrete
21,3,LSTM,0.013117730983413286,0.11453266339090035,0.6192793087990974,28.52770305542586,Continuous
21,3,SimpleRNN,0.0013643103864910808,0.036936572478927725,0.9604031220022551,42.67794699607966,Continuous
21,3,GRU,0.015888184450994353,0.1260483417225088,0.538871427249224,23.804062988938217,Continuous
21,3,LSTM,0.09700483276580771,0.31145598848923695,-1.8154066451831201,3.9013615373587234,Discrete
21,3,SimpleRNN,0.0018663519051786333,0.04320129517941138,0.945832187878971,41.36442878403018,Discrete
