Window,Timesteps,Model,MSE,RMSE,R-Squared,Aggregate Metrics,Data_Type
55,3,GRU,0.004424183,0.066514534,0.804453797,38.61292062,Continuous
21,8,SimpleRNN,0.004434145,0.066589374,0.803828972,38.60707997,Discrete
21,3,GRU,0.004458949,0.066775363,0.801873731,38.59248559,Continuous
5,21,SimpleRNN,0.004499389,0.067077483,0.801102792,38.56974505,Continuous
55,3,GRU,0.004539023,0.067372275,0.799377934,38.54742631,Discrete
3,5,GRU,0.004551986,0.067468406,0.796690529,38.53948095,Continuous
5,55,GRU,0.004589585,0.067746479,0.793561587,38.51815878,Discrete
21,5,GRU,0.004671101,0.068345455,0.792806714,38.47478582,Discrete
8,14,GRU,0.004720994,0.068709488,0.791383166,38.44847127,Discrete
8,3,GRU,0.004751941,0.068934326,0.787759736,38.43144023,Discrete
55,8,LSTM,0.004765425,0.069032056,0.789722185,38.42524862,Discrete
5,21,SimpleRNN,0.004769356,0.069060523,0.789168793,38.42307375,Discrete
21,3,LSTM,0.004902234,0.070015955,0.782177084,38.35487869,Continuous
5,8,SimpleRNN,0.004949347,0.070351593,0.780083705,38.33146765,Continuous
5,8,LSTM,0.004957908,0.070412416,0.77970328,38.32724801,Continuous
8,8,LSTM,0.004967219,0.070478503,0.779537909,38.32275381,Continuous
21,14,SimpleRNN,0.004973798,0.070525158,0.779990829,38.31977604,Continuous
14,55,LSTM,0.00502629,0.070896333,0.772988648,38.29269683,Discrete
14,55,GRU,0.005061563,0.071144661,0.771395563,38.2757547,Discrete
5,55,LSTM,0.005128899,0.071616334,0.769303383,38.24419947,Discrete
8,5,LSTM,0.005284528,0.072694757,0.764598204,38.17358283,Continuous
3,14,LSTM,0.005340685,0.073079992,0.76372271,38.14911951,Continuous
55,14,GRU,0.0053429,0.073095147,0.765549963,38.14878295,Discrete
55,5,SimpleRNN,0.005346262,0.073118136,0.763503179,38.14666688,Continuous
3,5,SimpleRNN,0.005349661,0.073141377,0.761063237,38.14440498,Continuous
5,21,GRU,0.005402432,0.073501235,0.76118344,38.12213234,Discrete
8,14,LSTM,0.005415802,0.073592133,0.760680159,38.11636301,Discrete
8,3,LSTM,0.005430947,0.07369496,0.757432682,38.10896056,Continuous
21,8,LSTM,0.005434477,0.073718907,0.759573258,38.10820477,Discrete
14,21,LSTM,0.005443464,0.073779833,0.759803227,38.10454754,Continuous
3,8,SimpleRNN,0.005452904,0.07384378,0.757394429,38.09983211,Discrete
21,14,LSTM,0.005513325,0.074251766,0.756125593,38.07460624,Continuous
14,21,GRU,0.005533033,0.074384357,0.755850936,38.06651258,Continuous
5,5,SimpleRNN,0.005539949,0.074430833,0.752899203,38.06273048,Continuous
5,5,LSTM,0.005584991,0.074732794,0.750890195,38.04396554,Discrete
3,3,GRU,0.005617939,0.074952913,0.748459682,38.03005642,Continuous
8,5,SimpleRNN,0.005623247,0.074988315,0.749509772,38.02830691,Continuous
3,55,LSTM,0.005664591,0.075263477,0.745655153,38.01077069,Continuous
8,55,SimpleRNN,0.005674864,0.075331695,0.744189196,38.00627137,Discrete
14,8,SimpleRNN,0.005716093,0.075604847,0.746454638,37.99103996,Continuous
55,14,SimpleRNN,0.005747923,0.075815057,0.747777308,37.97925645,Discrete
8,21,SimpleRNN,0.005784069,0.076053069,0.744503794,37.96440569,Discrete
14,8,GRU,0.005795249,0.076126531,0.742943569,37.95965613,Discrete
14,14,SimpleRNN,0.005846706,0.076463757,0.741712296,37.93993453,Continuous
55,3,SimpleRNN,0.005941307,0.077079873,0.73739786,37.90365106,Continuous
8,14,SimpleRNN,0.005998855,0.077452273,0.734915553,37.88203085,Discrete
55,55,GRU,0.005999923,0.07745917,0.73053208,37.88018649,Discrete
3,14,SimpleRNN,0.006057835,0.077832097,0.731995269,37.86005503,Continuous
3,21,LSTM,0.006087762,0.078024114,0.730702215,37.84908423,Continuous
55,3,LSTM,0.006095104,0.078071144,0.730600139,37.84647665,Discrete
3,21,SimpleRNN,0.006111451,0.078175771,0.729654324,37.84044716,Continuous
8,21,LSTM,0.00620028,0.078741856,0.726118773,37.80861492,Continuous
21,55,GRU,0.006206466,0.078781129,0.719249928,37.80421505,Discrete
3,8,LSTM,0.006249557,0.079054139,0.721950479,37.79050317,Continuous
55,21,LSTM,0.006310209,0.079436823,0.722630787,37.770417,Discrete
55,3,SimpleRNN,0.006410055,0.080062818,0.716679487,37.73562397,Discrete
8,3,SimpleRNN,0.006416226,0.080101347,0.713426289,37.73253697,Discrete
5,14,LSTM,0.006455458,0.080345863,0.714514486,37.72023535,Continuous
55,14,SimpleRNN,0.006549214,0.080927212,0.712616135,37.68979972,Continuous
14,55,SimpleRNN,0.006608186,0.081290751,0.701542636,37.66768837,Continuous
3,3,SimpleRNN,0.006701164,0.081860637,0.699958856,37.63861409,Discrete
14,5,GRU,0.006712105,0.081927438,0.701371208,37.63576471,Continuous
5,14,SimpleRNN,0.006767507,0.082264858,0.700714451,37.61885774,Discrete
3,3,SimpleRNN,0.006768557,0.082271237,0.696941388,37.61728588,Continuous
21,55,LSTM,0.006794388,0.082428076,0.692655242,37.60814796,Continuous
8,14,SimpleRNN,0.006815882,0.082558357,0.698811768,37.60381865,Continuous
5,5,GRU,0.006839859,0.08270344,0.694918742,37.59543807,Continuous
55,55,LSTM,0.006962087,0.08343912,0.687319479,37.5573685,Discrete
21,14,LSTM,0.006980291,0.083548138,0.691236327,37.55346135,Discrete
3,14,GRU,0.007088473,0.084193073,0.6863988,37.52128685,Continuous
21,5,SimpleRNN,0.007140477,0.084501344,0.683274064,37.50580178,Discrete
14,5,LSTM,0.007211817,0.084922416,0.6791385,37.48486414,Continuous
14,21,SimpleRNN,0.007386026,0.085941994,0.674086244,37.43661379,Continuous
8,55,GRU,0.007540361,0.086835252,0.660096574,37.39205228,Discrete
21,21,SimpleRNN,0.007600224,0.087179262,0.665622992,37.37874695,Continuous
8,55,LSTM,0.007631582,0.087358925,0.65598454,37.36767063,Discrete
55,8,SimpleRNN,0.007653047,0.087481698,0.662303747,37.36442206,Discrete
5,14,LSTM,0.007710712,0.087810662,0.659002229,37.34904699,Discrete
3,5,LSTM,0.007875528,0.08874417,0.648248162,37.30553134,Continuous
21,8,SimpleRNN,0.007892229,0.088838219,0.650839838,37.30241879,Continuous
21,21,LSTM,0.007961996,0.089230019,0.649706564,37.2855658,Discrete
3,3,LSTM,0.007981834,0.08934111,0.642617518,37.27855765,Continuous
14,8,LSTM,0.00801237,0.089511845,0.644600006,37.27210193,Continuous
21,5,LSTM,0.008030827,0.089614883,0.643781329,37.26754736,Continuous
14,5,SimpleRNN,0.00806717,0.089817426,0.641082913,37.25825994,Discrete
21,21,SimpleRNN,0.008081558,0.089897484,0.644446378,37.25607607,Discrete
55,21,SimpleRNN,0.008174453,0.090412681,0.640686769,37.23369406,Discrete
8,21,SimpleRNN,0.008216249,0.090643528,0.637068583,37.22309863,Continuous
55,14,LSTM,0.008234618,0.090744797,0.638659457,37.21952499,Discrete
21,3,SimpleRNN,0.008274779,0.090965814,0.632323423,37.20848805,Discrete
3,21,LSTM,0.008312867,0.091174924,0.63227267,37.20006687,Discrete
5,8,SimpleRNN,0.008459419,0.0919751,0.624119256,37.16554238,Discrete
5,55,SimpleRNN,0.008456311,0.091958201,0.619637244,37.16471439,Continuous
14,8,SimpleRNN,0.008647624,0.0929926,0.616422452,37.12332208,Discrete
8,3,SimpleRNN,0.008980152,0.094763662,0.598911337,37.05049314,Continuous
55,55,SimpleRNN,0.009403031,0.096969225,0.577692064,36.96341409,Discrete
21,8,LSTM,0.009471014,0.097319137,0.580992789,36.95215469,Continuous
14,21,LSTM,0.009501461,0.097475437,0.580741168,36.94657865,Discrete
21,55,SimpleRNN,0.009567435,0.097813264,0.567216214,36.93025952,Discrete
5,55,SimpleRNN,0.009918005,0.099589183,0.553890575,36.86504723,Discrete
5,21,LSTM,0.010436752,0.102160425,0.538639351,35.38080375,Continuous
8,21,LSTM,0.010618713,0.103047138,0.530946008,34.80287225,Discrete
14,5,SimpleRNN,0.010653044,0.103213584,0.526034597,34.69485538,Continuous
