Window,Timesteps,Model,MSE,RMSE,R-Squared,Aggregate Metrics,Data_Type
14,5,GRU,0.003321944,0.057636309,0.859629578,39.40326794,Discrete
8,3,SimpleRNN,0.00373882,0.061145894,0.856975237,39.07043434,Discrete
5,5,GRU,0.004478119,0.066918753,0.856059562,38.59985127,Continuous
21,14,SimpleRNN,0.002776601,0.052693467,0.856014666,39.94456646,Continuous
5,8,SimpleRNN,0.004570581,0.067606074,0.852206907,38.54792579,Continuous
3,3,LSTM,0.004862351,0.069730558,0.851778566,38.39756452,Discrete
14,14,SimpleRNN,0.00335371,0.057911223,0.850959345,39.37292312,Discrete
8,55,SimpleRNN,0.003139627,0.056032377,0.846260372,39.56436161,Continuous
55,3,SimpleRNN,0.002142469,0.046286807,0.84557325,40.81666708,Discrete
21,5,LSTM,0.003141682,0.056050709,0.842219169,39.56106886,Discrete
5,14,LSTM,0.004893872,0.069956218,0.839909852,38.37818828,Continuous
8,8,LSTM,0.004299197,0.065568264,0.832919824,38.69473353,Discrete
14,3,LSTM,0.003999372,0.063240591,0.832635485,38.88175481,Continuous
14,14,LSTM,0.003768268,0.061386218,0.832536167,39.04094591,Continuous
8,14,SimpleRNN,0.004248606,0.065181329,0.832334336,38.72471698,Discrete
14,8,SimpleRNN,0.004066989,0.063772947,0.825957805,38.83552935,Discrete
55,21,SimpleRNN,0.002505972,0.050059683,0.825155336,40.26710354,Discrete
3,8,LSTM,0.005612672,0.07491777,0.824006441,38.05732481,Discrete
8,21,SimpleRNN,0.004346648,0.06592911,0.823920663,38.66390912,Continuous
21,21,SimpleRNN,0.003407779,0.058376187,0.820091692,39.31678809,Discrete
3,14,LSTM,0.006008212,0.077512659,0.808677308,37.90326529,Discrete
55,21,SimpleRNN,0.002894646,0.053801917,0.798037054,39.79491177,Continuous
3,3,GRU,0.006816566,0.082562497,0.792207258,37.634748,Continuous
55,5,SimpleRNN,0.003043378,0.055166822,0.781343026,39.63606008,Continuous
5,3,LSTM,0.006883771,0.082968492,0.779735146,37.61083446,Discrete
14,21,LSTM,0.004760106,0.068993518,0.779350431,38.42448857,Discrete
21,55,LSTM,0.003863348,0.062155839,0.773997725,38.95419694,Discrete
5,14,GRU,0.006986437,0.083584908,0.771457116,37.57844645,Discrete
14,8,LSTM,0.005635128,0.075067486,0.758851075,38.02673254,Discrete
8,21,GRU,0.005963025,0.077220622,0.758442482,37.90278369,Continuous
55,55,SimpleRNN,0.003615708,0.060130755,0.75740599,39.12927692,Discrete
8,3,LSTM,0.0065877,0.081164646,0.747994262,37.68954318,Discrete
5,3,SimpleRNN,0.007910588,0.088941486,0.746879346,37.33007547,Discrete
5,8,SimpleRNN,0.008028544,0.089602144,0.740391135,37.30027944,Discrete
21,3,SimpleRNN,0.005377247,0.073329713,0.7326851,38.12324068,Discrete
55,3,LSTM,0.003713877,0.06094159,0.732307851,39.04715434,Discrete
21,5,LSTM,0.005424257,0.073649557,0.727584198,38.10179944,Continuous
3,5,LSTM,0.009097391,0.095380244,0.719854235,37.06806858,Discrete
55,8,SimpleRNN,0.00405417,0.063672361,0.710293279,38.80523163,Continuous
3,8,SimpleRNN,0.009412627,0.097018693,0.704853305,37.00404845,Discrete
5,5,SimpleRNN,0.010231478,0.101150771,0.671129033,36.09831561,Discrete
55,5,LSTM,0.004638445,0.068106132,0.666742571,38.44990273,Continuous
14,8,LSTM,0.008074486,0.089858141,0.654461502,37.26103791,Continuous
55,14,LSTM,0.005190239,0.072043316,0.633107634,38.17121526,Discrete
8,21,LSTM,0.009127694,0.095538968,0.630244153,37.03239248,Discrete
3,3,SimpleRNN,0.012242766,0.110647032,0.626797736,30.44847873,Discrete
21,55,SimpleRNN,0.006539569,0.080867604,0.617441286,37.66111085,Discrete
55,14,SimpleRNN,0.005521173,0.074304593,0.60971433,38.02261085,Discrete
8,8,GRU,0.010187996,0.100935605,0.604062769,36.22203187,Discrete
21,3,LSTM,0.008666428,0.093093653,0.569172576,37.10368117,Continuous
8,14,LSTM,0.012855808,0.113383455,0.492662362,29.03271508,Continuous
5,5,GRU,0.015838304,0.125850325,0.490908525,23.85830923,Discrete
55,8,SimpleRNN,0.007188557,0.08478536,0.48631321,37.4269341,Discrete
8,55,LSTM,0.011322217,0.106405907,0.4455796,32.72182645,Continuous
8,5,LSTM,0.017139708,0.130918707,0.341058932,22.10781294,Discrete
14,55,LSTM,0.015798963,0.125693924,0.157052068,23.80272707,Discrete
5,21,LSTM,0.033115213,0.181975859,-0.108461777,11.86145784,Discrete
55,21,LSTM,0.016686797,0.129177384,-0.164257827,22.50155164,Discrete
8,14,LSTM,0.079937593,0.282732371,-2.154632517,4.63067995,Discrete
55,55,GRU,0.086038294,0.293322849,-4.772694112,3.419750094,Continuous
3,14,LSTM,0.328028837,0.572738018,-9.445596364,-1.550361636,Continuous
3,21,LSTM,0.333561059,0.577547452,-9.760202804,-1.67693049,Continuous
55,8,LSTM,0.186788867,0.432190776,-12.34773735,-1.560102065,Continuous
3,55,LSTM,0.537271549,0.732988096,-18.71085405,-5.161773073,Discrete
5,55,LSTM,2.166112166,1.471771778,-83.63070027,-27.49653016,Discrete
55,21,LSTM,2.855726466,1.689889483,-198.2474628,-65.76851152,Continuous
55,14,LSTM,5.099901561,2.258296163,-359.5064815,-119.6225292,Continuous
8,21,LSTM,16.44354003,4.055063505,-665.1151072,-221.6025626,Continuous
5,21,LSTM,48.56702325,6.969004466,-1624.678451,-541.5047893,Continuous
8,55,LSTM,15052247.51,3879.722607,-737070584.6,-245690194.9,Discrete
3,55,LSTM,41309808142,203248.1443,-1.51553E+12,-5.05177E+11,Continuous
5,55,LSTM,3.08509E+11,555435.7814,-1.20535E+13,-4.01785E+12,Continuous
55,55,LSTM,1.53E+17,391486060.3,-1.03E+19,-3.43E+18,Discrete
55,55,LSTM,1.98E+18,1407335852,-1.33E+20,-4.43E+19,Continuous
